Category,News,Cluster
business,"Elon Musk Says He's Terminating $44bn Twitter Buyout Deal, Board to Fight. Elon Musk's tumultuous $44 billion bid to buy Twitter is on the verge of collapseRead more",
business,Elon Musk Sells $6.9bn of Tesla Shares as Twitter Lawsuit Looms. Musk in early July tore up his April 25 agreement to buy Twitter for $44 billion.Read more,
business,"Emefiele: InfraCo to Unlock N8trn Pension Funds' Assets for Infrastructure Projects Across Nigeria. The Governor of the Central Bank of Nigeria, Mr. Godwin Emefiele on Friday announced that the Infrastructure Corporation of Nigeria",
sports,Sports news: England Beat San Marino 10-0 to Qualify for Qatar World Cup. England hit double figures for the first time since 1964 as they secured qualification for the 2022 World Cup in,
sports,Sports news: England FA Confirms Community Shield to be Played on August 7. Manchester City and Leicester will raise the curtain on the 2021-22 campaign by playing the Community Shield on August 7.,
sports,Sports news: English Football Announces Social Media Boycott to Fight Racism. English football will unite for a social media boycott to highlight the ongoing fight against online abuse and discrimination of,
business,"Ethereum Breaks Past $3,000 to Quadruple in Value in 2021. Cryptocurrency ether broke past $3,000 on Monday to set a new record high in a dazzling rally that has outshone",
health,EU Agency Advises People to Get Second Dose Of AstraZeneca Despite RareÂ Risk of Blood Clots. The European Medicines Agency has advised people who have received a first dose of AstraZeneca's Covid-19 vaccine to get the,
health,"EU Considers Ghana as Covid Vaccine Manufacturing Hub, Removes West African Country from Money Laundering List. The European Union has announced plans to remove Ghana from the list of countries that are deficient anti-money laundering and",
health,"EU Insists AstraZeneca 'Honours Contract' with Members Before Exporting Vaccines Elsewhere. The vaccine producer AstraZeneca must ""catch up"" on its promised deliveries to the EU before exporting doses elsewhere, the bloc's",
health,EU Regulator Prepares To Issue Advice on Use of J&J Vaccine. Experts at the European Medicines Agency are preparing to present the conclusions of their investigation into possible links between the,
sports,Sports news: Euro 2020: Bale Shines as Wales Defeat Turkey 2-0. Wales captain Gareth Bale set up Aaron Ramsey and Connor Roberts to score for a 2-0 victory over Turkey in,
sports,Sports news: Euro 2020: Lewandowski's Superb Header Helps Poland Draw With Spain. Spain were again haunted by their inability to finish off chances as they drew 1-1 with Poland on Saturday after,
sports,Sports news: Euro 2020: Switzerland Eliminate France After Mbappe Shootout Miss. Kylian Mbappe had a decisive miss from the penalty spot as Switzerland knocked out world champions France from the 2020,
sports,"Sports news: Euro Super League Would Destroy English Premier League, Wenger Says. Former Arsenal manager Arsene Wenger has said the main reason clubs on the continent are keen to establish a new",
sports,"Sports news: Europa League: Chukwueze Seals Top Spot for Villarreal, Ndidi Back from Injury. Samuel Chukwueze grabbed maximum points for Villarreal on Thursday against Turkish club Sivasspor to lead the Yellow Submarines on 13",
business,Europe Races to Cut Russian Gas Usage Amid New Putin Warning. Putin warned that Russian supplies sent via the biggest pipeline to Europe could be reduced further and might even stop.Read more,
sports,"Sports news: European Clubs Don't Trust African Keepers, Former Super Eagles Goalie Says. Nigeria's Dele Aiyenugba, who won two African Champions League titles with Enyimba, said Wednesday that European clubs didn't trust black",
sports,Sports news: Everton Apologise to Liverpool over Van Dijk Injury. Everton boss Carlo Ancelotti has apologised for the injury suffered by Liverpool defender Virgil van Dijk during Saturday's Merseyside derby.,
health,"Expect More Worrisome Variants after Omicron, Scientists Say. Get ready to learn more Greek letters. Scientists warn that omicron's whirlwind advance practically ensures it won't be the last",
business,"Extensive Structural Reform Needed to Accelerate Nigeria's Economic Growth, CBN Governor Emefiele Says. Central Bank of Nigeria (CBN) Governor, Mr. Godwin Emefiele, has reiterated the need for extensive structural reform this year to",
sports,Sports news: F1: Hamilton Gracious in Title Defeat as Mercedes Lodge Protests. Lewis Hamilton was gracious in defeat after Red Bull rival Max Verstappen ended the Briton's quest for an unprecedented eighth,
sports,"Sports news: F1: Lewis Hamilton Says Max Verstappen 'Walking Away With It' after Austrian Grand Prix. Max Verstappen won't say it, but the reality is that he is in pretty much total control of this year's",
sports,"Sports news: FA Cup Final, World Snooker Championship Among UK's Pilot Events For Fan Return. The FA Cup final and the World Snooker Championship are to be used as pilot events as part of the",
business,"FCMB Founder Subomi Balogun Gifts UI $13m Pediatrics Hospital. The founder of FCMB Group, Chief Olasubomi Balogun, has donated his Otunba Tunwase National Pediatrics Centre (OTNPC) in Ijebu Ode",
health,"FDA, WHO: Covid Boosters Not Needed for General Population. Additional COVID-19 vaccine booster shots are not needed for the general population, leading scientists including two departing senior U.S. Food",
business,"FG Willing to Partner Investors on Power Supply, Says Minister. The Minister of Power, Mr. Abubakar Aliyu, has disclosed that the federal government was willing to partner investors in the",
business,"Fidelity Bank to Raise $500m Via International Debt Capital Market. Fidelity Bank Plc has considered raising about $500 million from the international debt capital market, after meeting with investors on",
sports,Sports news: FIFA Lodges Criminal Complaint Against Former President Sepp Blatter. FIFA has lodged a complaint of â€œcriminal mismanagementâ€ against its former president Sepp Blatter. The charges according to the World,
business,Flour Mills of Nigeria Completes Acquisition of 71% Stake in Honeywell Flour Mills. Flour Mills of Nigeria Plc (FMN) has announced that it has completed the acquisition of a 71.69 per cent stake,
business,"Flour Mills of Nigeria Grows Profit by 90% to $41m. Nigeria's integrated food business and agro-allied group, Flour Mills of Nigeria Plc, has continued its strong performance, growing its profit",
business,Flutterwave Now Allows African Merchants Receive Payment from PayPal's 377m Users. African payments companyÂ FlutterwaveÂ on Tuesday announced a collaboration with PayPal to allow PayPal customers globally to pay African merchants through its,
business,"Flutterwave Re-brands, Introduces New Products for Customers. Few days after it announced that it raised $250 million for business expansion, Flutterwave has unveiled its new brand identity,",
business,"Flutterwave, MTN Partner On Mobile Money To Ease Payment Across Africa. Flutterwave, a leading payments technology company in Africa, is collaborating with MTN Group to enable businesses operating Flutterwave in some",
business,"Foreigners Buy Turkish Homes at Record Pace as Lira Slides. Turkish house sales to foreigners jumped nearly 50% to a record level in November, data showed on Tuesday, bringing in",
business,"Foreigners Reinvesting in Nigerian Bourse Lift Market Cap to $38bn. Nigerian equities continued its bullish run on Tuesday, hitting a five-year high. The last time stocks rallied by this much",
business,"Former Central Bank Governor Sanusi Says Ending Subsidies Puts Nigeria on Fiscal Sustainability Path. A former Governor of the Central Bank of Nigeria (CBN) and a former Emir of Kano, Sanusi Lamido Sanusi, has",
sports,"Sports news: Former Super Eagles Player Barnabas Imenger Is Dead. A former Super Eagles striker and Lobi Stars team manager Barnabas Imenger, is dead. The team's media officer, Austin Tyowua",
health,"Former US President Bill Clinton Recovering from Infection in Hospital, Doctors Say. U.S. former President Bill Clinton is recovering after two days of treatment for an infection in a California hospital, his",
sports,"Sports news: Formula One Nears Deal to Secure South African Grand Prix. Formula One is moving closer to securing a South African Grand Prix at former race venue Kyalami, which could be",
health,"Four Lions Test Positive for Covid-19 at Barcelona Zoo. Four Lions at Barcelona Zoo in Spain have tested positive for coronavirus, veterinary officials say. Three females named Zala, Nima",
health,"France Extends Overnight Curfew as Europe Battles Rising Coronavirus Infection Rates. France will extend an overnight curfew to dozens more areas in a bid to slow the spread of coronavirus, Prime",
business,"France Invests â‚¬200,000 to Enhance Nigeria's Women Agricultural Skills. France has invested â‚¬200,000 towards enhancing the rural women's skills in producing higher value-added agricultural products and in leading their",
business,"Fresh Concerns in Nigeria as Crude Oil Price Slumps below $40. The price of Brent, the benchmark for Nigeria's crude oil, fell below $40 per barrel to a four-month low of",
business,"Fuel Queues Lengthen in Abuja as NNPC Cautions against Panic Buying. Several filling stations in Abuja had long queues to deal with on Tuesday, just as the Nigerian National Petroleum Corporation",
sports,"Sports news: Fulham Relegated From Premier League Following Burnley Loss. Fulham were relegated from the Premier League on Monday after losing 2-0 at home to fellow strugglers Burnley, who secured",
sports,"Sports news: Full-Strength Super Eagles in Lively Session in Tangier, Morocco. All 24 players invited by Head Coach Gernot Rohr have arrived in Tangier, Morocco, and trained on Thursday ahead of",
sports,"Sports news: Fury Brutally Stops Whyte to Retain Heavyweight Title, Vows to Retire. WBC champion Tyson Fury produced a stunning one-punch stoppage in the sixth round to beat fellow Briton Dillian Whyte and",
sports,Sports news: Fury Says Joshua Handled Loss to RuIz 'Like a Man'. Tyson Fury says Anthony Joshua handled his stunning defeat to Andy Ruiz about as well as a professional could. Joshua,
sports,Sports news: Gabriel Own Goal Hands Southampton Win Over FA Cup Holders Arsenal. Arsenal's defence of the FA Cup is over after Southampton defeated the holders 1-0 to knock them out in the,
business,"Gas Crisis Leaves Europe Searching for Solutions. A surge in gas prices has hit consumers and energy firms in the UK, with knock-on effects for the food",
sports,Sports news: Gattuso Quits as Fiorentina Boss After 23 Days in Charge. Gennaro Gattuso has quit his role as manager of Fiorentina after just 23 days at the helm. The 43-year-old World,
sports,Sports news: Germany Suffer Shock World Cup Qualifier Loss to North Macedonia. North Macedonia scored an 85th-minute winner through Eljif Elmas to stun hosts Germany 2-1 in their World Cup Group J,
health,"Germany, France, Italy, Spain to Resume Rollout after Declaring AstraZeneca Vaccine Safe. The EU's leading states are to restart their roll-out of the Oxford-AstraZeneca Covid-19 vaccine after Europe's medicines regulator concluded it",
health,"Ghana Becomes First Country to Receive Covid Vaccines through COVAX. A flight carrying 600,000 doses of the AstraZeneca/Oxford vaccine produced by the Serum Institute of India landed in Ghana's capital",
health,Ghana Declares First-Ever Outbreak of Marburg Virus Disease. Marburg is a highly infectious viral haemorrhagic fever in the same family as the more well-known Ebola virus disease.Read more,
sports,Sports news: Ghana Made To Wait For AFCON Spot After Losing to Sudan. Ghana will have to wait for the final matches to ensure qualification for the Africa Cup of Nations after Sudan,
sports,Sports news: Ghana to Play Switzerland in UAE Pre-World Cup Friendly. The GFA says it will serve as perfect preparation ahead of their World Cup Group H opener against Portugal.Read more,
health,"Global Vaccine Coalition Plans 520m Jabs for Nigeria, Others in 2021. Managing Director of the COVID-19 Vaccines Global Access (COVAX), a distribution scheme for the coronavirus jabs, Aurelia Nguyen, has said",
business,"GM's 2020 China Sales Drop for Third Year as Pandemic Hits Market. General Motors Co's vehicle sales in China fell 6.2% in 2020, as the U.S. automaker suffered a prolonged sales slowdown",
sports,Sports news: Golden Eaglets Lose WAFU U17 Cup to Cote d'Ivoire. Nigeria's U17 boys came close to a stunning comeback from three goals down before losing 2-3 to their Ivorian counterparts,
business,"Goldman Sachs Forecasts Oil Prices to Surge to Nearly $140 in Weeks. Consumers desperate for relief from the scourge of sky-high petrol prices won't get it soon, if the latest forecast from",
sports,Sports news: Guardiola To Leave Man City When Contract Expires in 2023. Pep Guardiola has said that he will leave Manchester City when his contract runs out in 2023 - and hopes,
sports,Sports news: Haaland Youngest to Reach 50 Bundesliga Goals in Dortmund Win. Erling Braut Haaland scored in a winning return for Borussia Dortmund at Wolfsburg to become the youngest player to reach,
sports,Sports news: Hamilton Breaks Schumacher's All-time Formula One Record. Lewis Hamilton passed Valtteri Bottas to take a commanding victory in the Portuguese Grand Prix and break Formula 1's,
sports,Sports news: Havertz and Werner Score as Slick Germany Become First to Qualify for World Cup. Germany became the first team to join hosts Qatar at the 2022 World Cup with a thumping victory in North,
business,"Heads of Nigerian Ministries Risk Arrest Over Late Submission of Financial Reports, Auditor-General Warns. The Auditor-General of the Federation (AuGF), Adolphus Aghughu has warned the country's head of Ministries, Departments and Agencies (MDAs) against",
health,"Health Officials Interrupt Brazil-Argentina World Cup Qualifier, Match Suspended. A World Cup qualifier between Brazil and Argentina was suspended after Brazilian health officials objected to the participation of three",
health,"Hong Kong Halts Use of Pfizer Vaccine, Cites Defective Lids. Hong Kong suspended use of the Pfizer vaccine Wednesday after its Chinese distributor informed the city that one batch had",
sports,Sports news: Hong Kong Probes Booing of China Anthem at Olympic Broadcast in Shopping Mall. Hong Kong police say they have begun an investigation into the booing of China's national anthem in a shopping mall,
business,"Hong Kong's Airport Raises $1.5 billion in Bond Sale to Fund Third Runway. The operator of Hong Kong's main airport has sold bonds for $1.5 billion to fund development of a third runway,",
business,"Hope Rises for Nigeria as TotalEnergies Announces Production at 50,000bpd Oil Field. The French oil major and operator of OML 59 with 40% interest in partnership with NNPC Ltd which holds 60%,",
business,"How Fintech Helps Reduce the Impact of COVID-19. The founder and president of Fintech Nigeria Dr Segun Aina, says the covid-19 pandemic has stressed the importance of financial",
health,"How the US Locked Up Vaccine Materials Other Nations Urgently Need. To fight the pandemic at home, the United States gave its own vaccine manufacturers priority access to American-made materials needed",
health,"Hundreds in China Queue for Experimental Covid-19 Vaccine. Hundreds of people have been gathering outside a hospital in Yiwu, a city in the Zhejiang province in eastern China,",
business,"Hyundai in Early Talks with Apple Over Electric Vehicles. South Korea's Hyundai Motor Co said on Friday it was in early, unspecified talks with Apple after a local Korean",
sports,"Sports news: Ighalo in Paris for Man United's Champions League Clash with PSG, Cavani Dropped. Odion Ighalo has traveled with the rest of the Manchester United squad for Tuesday's UEFA Champions League group game with",
business,IMF Raises Nigeria's 2021 GDP Growth Forecast to 2.5%. The International Monetary Fund (IMF) has revised upward its growth forecast for the Nigerian economy in 2021 from one per,
business,IMF Revises Nigeria's 2021 GDP Forecast to 1.5%. The International Monetary Fund (IMF) in its World Economic Outlook (WEO) update relead on Tuesday has projected that the Nigerian,
business,"IMF Urges El Salvador to Remove Bitcoin as Legal Tender. The International Monetary Fund (IMF) has urged El Salvador to reverse its decision to make Bitcoin legal tender. In September,",
health,"Immunised But Banned: EU Says Not All Covid Vaccines Equal. After Dr. Ifeanyi Nsofor and his wife received two doses of AstraZeneca's coronavirus vaccine in Nigeria, they assumed they would",
health,"Implementation of $1bn Anti-Malaria Project in Nigeria May Suffer Setback. Representative of the Country Coordinating Mechanism for the Global Fund, Mr. Ibrahim Tajudeen has said the utilisation of a $1.136",
business,"In Historic Deal, Afreximbank, African Oil Producers Sign Agreement to Float Energy Bank. Africa's multilateral trade finance institution, the African Export-Import Bank (Afreximbank), has signed a deal with the African Petroleum Producers Organisation",
business,"In Push for Free Market, Nigeria Begins Implementation of New Gas Pricing Framework. The Nigerian Midstream and Downstream Petroleum Regulatory Authority (NMDPRA) at the weekend said that it had established a new Domestic",
health,"India Approves AstraZeneca and Local Covid Vaccines, Rollout in Days. India's drugs regulator on Sunday gave final approval for the emergency-use of two coronavirus vaccines, one developed by AstraZeneca and",
business,"Indigenous Participation in Nigeria's Gas Sector Now 50%, Says NUPRC Boss Komolafe. Chief Executive of the Nigerian Upstream Petroleum Regulatory Commission (NUPRC), Mr Gbenga Komolafe, on Sunday said that with the surging",
business,"Industrialist and Philanthropist Elumelu Urges African Leaders to Prioritise Job Creation. The Chairman of the United Bank for Africa (UBA) and Founder of the Tony Elumelu Foundation (TEF), Mr. Tony Elumelu,",
health,"International Alarm Grows Over New Covid Variant. There is growing international alarm over a new variant of the coronavirus in the UK, with a host of countries",
business,"Investment in Education and Health Will Make Nigeria Successful, PWC Nigeria Chief Economist Says. Nigeria will be very successful",
health,Iran's Supreme Leader Khamenei Receives Local Covid Vaccine. Iran's Supreme Leader Ali Hosseini Khamenei has received a dose of the country's first locally developed COVID-19 vaccine. Khamenei on,
health,Israel Seals $237m Vaccine Deal with Pfizer. Prime Minister Benjamin Netanyahu on Friday announced that Israel signed a deal with Pfizer to purchase millions of coronavirus vaccine,
business,Israel Targeting Hamas Cryptocurrency Accounts. Israel has said it will begin seizing cryptocurrency accounts used by the Palestinian Hamas group to raise money for its,
health,"Italy Extends 'Red Zones' from Sunday as Coronavirus Infections Soar. Italy has added more regions to its coronavirus high-risk ""red zones"" as cases across the country hit a new daily",
health,"Ivory Coast Records First Case of Ebola in 25 years. Ivory Coast has recorded its first case of the Ebola hemorrhagic virus in 25 years, according to the country's health",
health,"Ivory Coast's First Ebola Patient Since 1994 Recovers. A young Guinean woman, who was the first confirmed case of Ebola in Ivory Coast since 1994 has recovered from",
sports,Sports news: Iwobi Cleared By CAF For Nigeria's Clash With Lesotho. Nigerian forward Alex Iwobi will be available for the Super Eagles final game in the 2021 Africa Cup of Nations,
sports,"Sports news: Iwobi Shines as Everton Return to Winning Ways at Fulham. Nigerian international, Alex Iwobi was in excellent form on Sunday as Everton defeated Fulham 3-2 to return to winning ways.",
health,J&J to Resume Rollout of Covid-19 Vaccine in Europe with Safety Warning. Johnson & Johnson (JNJ.N) said on Tuesday it will resume rolling out its Covid-19 vaccine in Europe after the region's,
health,"Japan Vaccination Uncertainty Casts Doubts Over Olympics. Japan is publicly adamant that it will stage its postponed Olympics this summer. But to pull it off, many believe",
business,"Jay-Z Sells Half of Ace of Spades Champagne to LVMH. French conglomerate LVMH has purchased a 50% stake in rapper-mogul Jay-Z's Champagne house, Armand de Brignac. Popularly known as 'Ace",
business,"JPMorgan Buys Nutmeg Investment Platform To Expand Into UK Retail Banking. As part of the US banks expansion into the UK retail banking and investment market, JPMorgan American multinational investment bank",
business,Kanye West Sneakers Fetch Record $1.8M at Private Sale. A pair of prototype Nikes worn by Kanye West during a performance at the Grammy Awards in 2008 has shattered,
sports,"Sports news: Kenin Downs Kvitova to Set up French Open Final with Swiatek. Sofia Kenin on Thursday defeated Petra Kvitova 6-4, 7-5 to reach the French Open final and attempt to capture a",
health,Kenya Stops Giving First Doses of AstraZeneca Jabs. Kenya's health ministry has advised hospitals to stop giving first doses of the AstraZeneca Covid-19 vaccines. Health Minister Mutahi Kagwe,
sports,"Sports news: Klopp Says Van Dijk's Injury 'Not Good'. Liverpool defender Virgil van Dijk's knee injury is ""not good"", says the champions' manager Jurgen Klopp. Van Dijk was hurt",
health,"Kogi Moves to Contain Lassa Fever Outbreak in 9 Communities. The Kogi State government in North-Central Nigeria has moved to curtail the spread of the lassa fever disease, following the",
sports,Sports news: LA Lakers Double Lead over Miami Heat in NBA Finals with 124-114 win. LeBron James scored 33 points as the Los Angeles Lakers moved to within two wins of their first NBA title,
sports,"Sports news: Ladan Bosso Expected to Return as Flying Eagles Boss. Coach Ladan Bosso is a favourite for the Flying Eagles job, with sources suggesting he'll be reengaged by the Nigeria",
business,"Lagos Deep Offshore Group, Samsung Reach Settlement, Truce May Unlock $300bn Investments. The Lagos Deep Offshore Logistics Base (LADOL) Group and Samsung Heavy Industries (SHI) Nigeria, on Wednesday signalled an end to",
health,"Lagos Issues New Covid Restrictions, Shuts Schools, Bans Concerts and Carnivals. Lagos State Governor, Mr. Babajide Sanwo-Olu on Friday said Lagos may slip into a second wave of the coronavirus pandemic",
business,Lagos Marriott Appoints Van Rensburg as General Manager. The Lagos Marriott Hotel Ikeja has announced the appointment of Rudi Janse Van Rensburg as General Manager. Van Rensburg arrives,
health,"Lagos Shuts 21 Illegal, Substandard Pharmacies, Patent Medicine Stores. Martins Ifijeh No fewer than 21 pharmacies, patent medicine shops and unlicensed premises at Alakuko, Ajegunle, Ologogoro, Ijaiye, Abule-Egba, Agbado",
health,Lagos Threatens New Covid Lockdown. The Lagos State Government has threatened to impose a fresh lockdown and reintroduce other measures if there is a recurrence,
sports,Sports news: Las Vegas Lights Up for Fury-Wilder Trilogy Fight on Saturday Night. One of 2021's most anticipated bouts will roar into action in Las Vegas on Saturday as heavyweights Tyson Fury and,
sports,Sports news: Leicester 3-1 Liverpool: Champions Fall Apart Again as Alisson Howler Gifts Foxes Victory. Liverpool's woeful run of form hit a new low as they capitulated late on to hand Leicester a 3-1 victory,
sports,"Sports news: Leicester Boss, Rodgers, Laments Ndidi's Long Injury Spell. Leicester City Manager, Brendan Rodgers, is yet to come to terms with the recent groin injury that will keep Super",
sports,Sports news: Lewandowski Breaks Scoring Record in Last Minute of Season. Bayern Munich's Robert Lewandowski scored in the last minute of the season to break Gerd Muller's 49-year record of Bundesliga,
sports,Sports news: Lewandowski Dedicates Brace against Salzburg to Ailing Gerd Mueller. Robert Lewandowski dedicated his two goals in Tuesday's Champions League thrashing over Salzburg to Gerd Mueller after the Poland striker,
sports,Sports news: Lewandowski Hits Hat-trick as Bayern Come From Two Goals Down to Beat Dortmund. Robert Lewandowski scored a hat-trick as Bayern Munich came from two goals down to beat Borissia Dortmund 4-2. Edin Terzic's,
sports,"Sports news: Lewandowski Voted FIFA's Player of the Year. Poland and FC Bayern Munich striker, Robert Lewandowski, was last night named The Best FIFA Men's Player for 2020 for",
sports,"Sports news: Lewis Hamilton Tests Positive for Coronavirus, to Miss Bahrain Grand Prix. Lewis Hamilton will miss this weekend's Sakhir Grand Prix after testing positive for coronavirus. The Mercedes driver returned three negative",
sports,Sports news: Lingard's Brace Helps England Thrash Andorra. England cruised to a comfortable 4-0 win over Andorra at Wembley on Sunday to extend their lead at the top,
sports,"Sports news: Liverpool End Run of Four League Defeats With Victory Over Sheffield United. Liverpool ended a run of four successive Premier League losses with a 2-0 win at bottom club Sheffield United, boosting",
sports,Sports news: Liverpool Leap to Fifth Place With Comfortable Win at Arsenal. Liverpool climbed to fifth place in the Premier League with a 3-0 victory at Arsenal on Saturday. Diogo Jota scored,
sports,Sports news: Liverpool Look to Overturn 1-3 Deficit to Real Madrid at Anfield. Real Madrid arrive at Anfield for the second leg of their Champions League quarter-final against Liverpool in high spirits after,
health,"Long Working Hours Killing 745,000 People a Year, Study Finds. Long working hours are killing hundreds of thousands of people a year, according to the World Health Organization (WHO). The",
sports,"Sports news: Lukaku and Hazard to Miss Nations League Play-off Due to 'Muscle Overloads'. Belgium pair Romelu Lukaku and Eden Hazard will miss the Nations League third-placed play-off with Italy because of ""muscle overloads"".",
sports,Sports news: Lukaku Scores on His 100th Cap as Belgium Cruise Past Czechs. Belgium cruised to an impressive 3-0 win over the Czech Republic with Romelu Lukaku marking his 100th cap with an,
health,"Malawi Burns 20,000 Expired AstraZeneca Doses Despite Pleas. Malawi has burned nearly 20,000 doses of expired AstraZeneca vaccines, defying calls not to do so from the World Health",
sports,Sports news: Mali Beat Tunisia Amid Controversy  as Referee Blows for Full-Time Early. Mali and Tunisia's Africa Cup of Nations game finished in chaos after the referee first signalled for full-time on 85,
sports,"Sports news: Man City Begins Title Defence at Tottenham, Man Utd Host Leeds, Liverpool visit Norwich on 2021/22 Premier League. Premier League champions Manchester City get their 2021/22 title defence underway at Tottenham Hotspur when the new season kicks off",
sports,Sports news: Man City Restore Title Gap on Rivals With Comfortable Win Over Burnley. Manchester City have restored a three-point gap at the top of the Premier League as they beat Burnley 2-0 for,
sports,"Sports news: Man United 6-2 Roma: Cavani, Fernandes Star in Europa Semi-final Thriller. Manchester United fought back to punish AS Roma as Edinson Cavani and Bruno Fernandes starred with two goals apiece in",
sports,Sports news: Man United Stay Top After 0-0 Draw With Liverpool. Manchester United remain three points clear of Liverpool at the top of the Premier League table after the two sides,
sports,Sports news: Man United to Host Liverpool in FA Cup Fourth Round. Premier League rivals Manchester United and Liverpool will meet at Old Trafford in the fourth round of the FA Cup,
sports,"Sports news: Man United's Greenwood Accused of Sexual Assault By Girlfriend. Manchester United player, Mason Greenwood, has been accused of sexual assault and domestic violence by his ex-girlfriend, Harriet Robson. In",
sports,Sports news: Man United's Premier League Title Hopes Fade as Bruno Fernandes Rescues Draw at West Brom. Manchester United's Premier League title hopes took a further hit as they were held to a 1-1 draw by West,
sports,Sports news: Man Utd on Brink of Appointing Ajax Boss Erik ten Hag as New Manager. Ajax boss Erik ten Hag is on the brink of being confirmed as Manchester United's new manager. United say no,
sports,Sports news: Man Utd vs Liverpool Match Postponed After anti-Glazer Protesters Storm Old Trafford Pitch. Manchester United's clash with Liverpool on Sunday has been postponed after United fans stormed onto the Old Trafford pitch to,
sports,Sports news: Manchester United Lining Up Â£50m Pedro Neto Move. Reports suggest Manchester United are preparing a Â£50 million swoop for Wolverhampton Wanderers star Pedro Neto. English tabloid The Sun,
sports,Sports news: Maradona Moved to Rehab to Recover from Alcohol Abuse. Argentina legend Diego Maradona who was discharged from hospital on Tuesday has been taken to a recovery clinic to be,
sports,"Sports news: Mason Greenwood Arrested on Suspicion of Rape,  Suspended By Man United. MANCHESTER United ace Mason Greenwood has been arrested on suspicion of rape and assault. Greater Manchester Police confirmed the 20-year-old",
sports,Sports news: Match Abandoned in France as Payet Throws Bottle Back into Crowd after Being Hit. Dimitri Payet was hit by a bottle and threw it back into the crowd before fans stormed the pitch causing,
sports,"Sports news: Messi Agrees Five-year Barcelona Contract, Takes Huge Pay Cut: ESPN. Lionel Messi and Barcelona have reached an agreement for the forward to sign a new five-year deal with the Catalan",
sports,Sports news: Messi Brace Keeps Barcelona Title Hopes Alive with Big Comeback Win Over Valencia. Barcelona rode a trio of second-half goals to a 3-2 win over Valencia in La Liga on Sunday night to,
health,Messi Nets Double as Barcelona Beat Huesca in Record-setting Night. Barcelona moved back to within four points of La Liga leaders Atletico Madrid in a record-setting night for Lionel Messi,
sports,"Sports news: Messi Scores Stunner, but Chile Grab 1-1 Draw Against Argentina at Copa America. Argentina's Lionel Messi scored one of his trademark free-kicks in the first half, but Eduardo Vargas equalised for Chile to",
sports,Sports news: Messi to Leave Barcelona as Club Can't Fulfil Contract Agreement. Barcelona have announced that Lionel Messi will leave the club after financial problems prevented them from agreeing with the forward,
health,"Mexican President LÃ³pez Obrador Tests Positive for Covid-19. Mexican President AndrÃ©s Manuel LÃ³pez Obrador has tested positive for COVID-19, a development that comes as his country registers the",
health,"Mexico Surpasses One Million Coronavirus Cases. Mexico has registered one million total coronavirus cases, with almost 100,000 confirmed deaths. The country has a death rate of",
health,Moderna Launches Clinical Trials for HIV Vaccine. Human clinical trials have started for an experimental HIV vaccine that uses the same kind of mRNA technology found in,
health,"Moderna Set to Test Coronavirus Booster Shot For South African Strain. Drugmaker, Moderna says it has shipped doses of its variant-specific booster shot to the National Institutes of Health for clinical",
sports,"Sports news: Morata Goal Sends Spain to World Cup, Consigns Sweden to Play-offs. Alvaro Morata's late goal helped Spain qualify for the 2022 World Cup and consigned Sweden to the play-offs. Sweden goalkeeper",
health,"More 'Pain and Suffering' Ahead as Covid Cases Rise, Fauci Says. Dr. Anthony Fauci warned Sunday that more â€œpain and sufferingâ€ is on the horizon as Covid-19 cases climb again and",
business,"More Nigerian Banks to Adopt HoldCo Structure to Diversify Earnings, Analysts Say. Analysts have predicted that more commercial banks will soon convert to a holding company (HoldCo) structure as they seek to",
sports,Sports news: Morocco 2022: Super Falcons Plot Win Against Botswana as Injured Oshoala Returns to Spain. Nigeria's Super Falcons say they are ready to rekindle their campaign for FIFA World Cup ticket and the tournament trophy,
sports,"Sports news: Morocco 2022: Super Falcons Soar to 2-0 Win Over Botswana, Rise to 2nd Spot in Group C. Cup holders Nigeria set their 12th Women Africa Cup of Nations campaign back on track with a 2-0 win over",
health,Mozambique on High Alert Over Growing Covid-19 Cases. Mozambique is on high alert as the country continues to witness an increase in the number of Covid-19 cases. The,
health,"Mozambique Receives First Batch of Sinopharm Covid-19 Vaccine Doses. Mozambique has received 200,000 doses of vaccines by Sinopharm from China, but the country is yet to disclose its vaccination",
business,"MTN Nigeria Records $1.9bn Revenue in Q1 2021. MTN Nigeria o Saturday declared revenue of N790.3 billion (about $1.9bn), representing an increase of 24.1 per cent in its",
business,"Multichoice Pays N8bn Deposit In 'Tax Evasion' Dispute, Tribunal Adjourns Ruling To October 20. In complying with the directives of the tax appeal tribunal (TAT), Multichoice Nigeria Limited has deposited an amount required by",
health,Musicians Send Messages of Support to Covid-hit Singer Jeremih. 50 Cent and Chance The Rapper have sent get well messages to singer Jeremih following reports he has been admitted,
business,"Musk Says Tesla Needs to Cut Staff By 10%, Pauses All Hiring. Tesla CEO Elon Musk has a ""super bad feeling"" about the economy and wants to cut about 10% of jobs",
sports,"Sports news: Nadal Wins 14th French Open Title, 22nd Grand Slam, Becomes Oldest Champ in Tourney History. Rafael Nadal overwhelmed Casper Ruud in straight sets Sunday to win his 14th French Open championship and 22nd Grand Slam",
sports,"Sports news: Napoli Handed 0-3 Loss, Have Point Deducted for Juve 'No Show'. Victor Osimhen and his Napoli teammates have suffered the consequence of refusing to go to Turin to play Juventus in",
